feature,rows,nonmissing,missing_count,missing_percent,unique_values,unique_ratio,numeric_conversion_ratio,excluded_by_design
timestamp_c,33102,33102,0,0.0,32967,0.9959216965742251,1.0,True
frame.number,33102,33102,0,0.0,5935,0.1792943024590659,1.0,True
frame.len,33102,33102,0,0.0,52,0.0015709020602984714,1.0,False
frame.protocols,33102,33102,0,0.0,6,0.00018125793003443902,1.0,False
wlan.duration,33102,33102,0,0.0,11,0.00033230620506313817,1.0,False
wlan.ra,33102,33102,0,0.0,15,0.00045314482508609753,1.0,True
wlan.ta,33102,33102,0,0.0,3,9.062896501721951e-05,1.0,True
wlan.da,33102,33102,0,0.0,15,0.00045314482508609753,1.0,True
wlan.sa,33102,33102,0,0.0,3,9.062896501721951e-05,1.0,True
wlan.bssid,33102,33102,0,0.0,1,3.0209655005739834e-05,1.0,True
wlan.frag,33102,33102,0,0.0,1,3.0209655005739834e-05,1.0,False
wlan.seq,33102,33102,0,0.0,4086,0.12343665035345297,1.0,True
llc.type,33102,33102,0,0.0,3,9.062896501721951e-05,1.0,False
ip.hdr_len,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
ip.len,33102,33102,0,0.0,45,0.0013594344752582926,1.0,False
ip.id,33102,33102,0,0.0,3413,0.10310555253459006,1.0,True
ip.flags,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
ip.ttl,33102,33102,0,0.0,4,0.00012083862002295934,1.0,False
ip.proto,33102,33102,0,0.0,3,9.062896501721951e-05,1.0,False
ip.src,33102,33102,0,0.0,4,0.00012083862002295934,1.0,True
ip.dst,33102,33102,0,0.0,8,0.00024167724004591867,1.0,True
tcp.srcport,33102,33102,0,0.0,1360,0.041085130807806174,1.0,False
tcp.dstport,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
tcp.seq_raw,33102,33102,0,0.0,1399,0.04226330735303003,1.0,True
tcp.ack_raw,33102,33102,0,0.0,1,3.0209655005739834e-05,1.0,True
tcp.hdr_len,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
tcp.flags,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
tcp.window_size,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
tcp.options,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
udp.srcport,33102,33102,0,0.0,4,0.00012083862002295934,1.0,False
udp.dstport,33102,33102,0,0.0,6,0.00018125793003443902,1.0,False
udp.length,33102,33102,0,0.0,44,0.0013292248202525527,1.0,False
data.data,33102,33102,0,0.0,472,0.014258957162709201,1.0,True
data.len,33102,33102,0,0.0,42,0.0012688055102410732,1.0,False
wlan.fc.type,33102,33102,0,0.0,2,6.041931001147967e-05,1.0,False
wlan.fc.subtype,33102,33102,0,0.0,9,0.0002718868950516585,1.0,False
time_since_last_packet,33102,33102,0,0.0,17003,0.5136547640625944,1.0,False
