feature,rows,nonmissing,missing_count,missing_percent,unique_values,unique_ratio,numeric_conversion_ratio,excluded_by_design
timestamp_c,9156,9156,0,0.0,649,0.07088248143294015,1.0,True
frame.number,9156,9156,0,0.0,7266,0.7935779816513762,1.0,True
frame.len,9156,9156,0,0.0,55,0.006006989951944081,1.0,False
wlan.ta,9156,9156,0,0.0,3,0.000327653997378768,1.0,True
wlan.sa,9156,9156,0,0.0,3,0.000327653997378768,1.0,True
wlan.ra,9156,9156,0,0.0,42,0.0045871559633027525,1.0,True
wlan.da,9156,9156,0,0.0,42,0.0045871559633027525,1.0,True
wlan.bssid,9156,9156,0,0.0,3,0.000327653997378768,1.0,True
wlan.duration,9156,9156,0,0.0,9,0.000982961992136304,1.0,False
wlan.frag,9156,9156,0,0.0,1,0.00010921799912625601,1.0,False
wlan.seq,9156,9156,0,0.0,2480,0.27086063783311487,1.0,True
wlan.fc.type,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
wlan.fc.subtype,9156,9156,0,0.0,8,0.0008737439930100481,1.0,False
wlan.flags,9156,9156,0,0.0,13,0.001419833988641328,1.0,False
wlan.fcs,9156,9156,0,0.0,7418,0.8101791175185671,1.0,True
wlan.fcs.status,9156,9156,0,0.0,1,0.00010921799912625601,1.0,False
wlan.qos,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
wlan.qos.priority,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
wlan.qos.ack,9156,9156,0,0.0,1,0.00010921799912625601,1.0,False
wlan.ccmp.extiv,9156,9156,0,0.0,2419,0.2641983398864133,1.0,False
wlan.wep.key,9156,9156,0,0.0,1,0.00010921799912625601,1.0,False
data.len,9156,9156,0,0.0,43,0.004696373962429008,1.0,False
radiotap.hdr_length,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
radiotap.antenna_signal,9156,9156,0,0.0,46,0.005024027959807776,1.0,False
radiotap.signal_quality,9156,9156,0,0.0,27,0.002948885976408912,1.0,False
radiotap.channel.flags.ofdm,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
radiotap.channel.flags.cck,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
wlan_radio.datarate,9156,9156,0,0.0,10,0.00109217999126256,1.0,False
wlan_radio.channel,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
wlan_radio.frequency,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
wlan_radio.signal_strength (dbm),9156,9156,0,0.0,46,0.005024027959807776,1.0,False
wlan_radio.Noise level (dbm),9156,9156,0,0.0,1,0.00010921799912625601,1.0,False
wlan_radio.SNR (db),9156,9156,0,0.0,1,0.00010921799912625601,1.0,False
wlan_radio.preamble,9156,9156,0,0.0,2,0.00021843599825251202,1.0,False
