experiment,split,attack_class,windows,temporal_groups
cyber_schema_A_3class,test,Benign,96,4
cyber_schema_A_3class,test,DoS,102,1
cyber_schema_A_3class,test,Replay,157,8
cyber_schema_A_3class,train,Benign,270,23
cyber_schema_A_3class,train,DoS,384,4
cyber_schema_A_3class,train,Replay,306,3
cyber_schema_A_3class,validation,Benign,89,8
cyber_schema_A_3class,validation,DoS,96,1
cyber_schema_A_3class,validation,Replay,132,1
physical_schema_A_3class,test,Benign,87,7
physical_schema_A_3class,test,DoS,16,2
physical_schema_A_3class,test,Replay,17,2
physical_schema_A_3class,train,Benign,247,22
physical_schema_A_3class,train,DoS,51,4
physical_schema_A_3class,train,Replay,56,6
physical_schema_A_3class,validation,Benign,84,6
physical_schema_A_3class,validation,DoS,27,2
physical_schema_A_3class,validation,Replay,20,2
