split,attack_class,feature,count,mean,std,min,q25,median,q75,max
train,Benign,barometer__mean,247,20203.52064777328,652.7401589918562,19247.0,19710.800000000003,20210.9,21007.699999999997,21164.3
train,Benign,barometer__std,247,7.755916801685826,18.862178743559593,1.469693845669907,3.1701672193824963,3.8845849199110063,4.594013949390893,134.38288581512157
train,Benign,barometer__min,247,20186.80971659919,657.2469696977255,18909.0,19702.5,20193.0,20999.5,21156.0
train,Benign,barometer__max,247,20212.255060728745,652.4783550202534,19309.0,19717.5,20217.0,21014.5,21178.0
train,Benign,barometer__median,247,20205.331983805667,652.2634206735005,19306.0,19711.5,20210.5,21008.0,21166.0
train,Benign,barometer__missing_ratio,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,Benign,barometer__nunique,247,7.510121457489879,1.2000753963430806,4.0,7.0,8.0,8.0,10.0
train,DoS,barometer__mean,51,13948.59411764706,18.51493739050701,13915.0,13929.9,13953.5,13964.95,13977.1
train,DoS,barometer__std,51,4.780339075421623,3.396411816308195,2.118962010041709,3.1224842179639207,4.171330722922842,5.1526659217973405,25.03297824870225
train,DoS,barometer__min,51,13940.43137254902,20.496058829147476,13894.0,13921.5,13938.0,13960.0,13972.0
train,DoS,barometer__max,51,13956.058823529413,18.60783280646007,13921.0,13937.0,13962.0,13972.0,13986.0
train,DoS,barometer__median,51,13948.588235294117,18.727065943350475,13913.0,13930.0,13955.0,13965.5,13977.5
train,DoS,barometer__missing_ratio,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,DoS,barometer__nunique,51,7.03921568627451,1.327843368889178,4.0,6.0,7.0,8.0,10.0
train,Replay,barometer__mean,56,16942.748214285715,1910.8321398758517,14441.0,14480.650000000001,17818.75,17893.899999999998,19167.4
train,Replay,barometer__std,56,5.762168715592622,13.868299575709239,2.165640782770771,3.1559467676119,3.611391495380854,4.319710613628521,108.20536031084596
train,Replay,barometer__min,56,16930.625,1904.758604526531,14432.0,14474.0,17812.0,17888.5,19158.0
train,Replay,barometer__max,56,16950.053571428572,1911.8473808974366,14446.0,14486.75,17825.0,17900.25,19174.0
train,Replay,barometer__median,56,16943.73214285714,1911.7944612800625,14442.0,14481.5,17819.5,17893.875,19168.5
train,Replay,barometer__missing_ratio,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,Replay,barometer__nunique,56,7.589285714285714,1.2067782627766392,5.0,7.0,8.0,8.0,10.0
validation,Benign,barometer__mean,84,21283.858333333334,46.0312813109411,21157.0,21264.825,21301.6,21315.4,21337.9
validation,Benign,barometer__std,84,6.9583712147358945,13.880699122636909,2.4576411454889016,3.5081126468557198,4.10121860606024,5.320478539661095,121.09318725675692
validation,Benign,barometer__min,84,21270.54761904762,64.18934134223613,20934.0,21258.0,21291.5,21309.0,21328.0
validation,Benign,barometer__max,84,21293.333333333332,45.505973792389625,21185.0,21271.75,21311.0,21323.25,21356.0
validation,Benign,barometer__median,84,21284.666666666668,45.111721983509575,21179.0,21264.875,21302.25,21316.5,21337.0
validation,Benign,barometer__missing_ratio,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,Benign,barometer__nunique,84,7.75,1.0564428184106458,5.0,7.0,8.0,8.0,10.0
validation,DoS,barometer__mean,27,14277.774074074072,101.08914508379364,14174.4,14182.2,14184.6,14382.3,14394.4
validation,DoS,barometer__std,27,3.750846556198051,1.658324154303406,1.857417562100671,2.877813673078709,3.4481879299133342,4.1521078984053394,11.034491379306978
validation,DoS,barometer__min,27,14271.074074074075,102.2418794840889,14152.0,14175.5,14181.0,14376.5,14388.0
validation,DoS,barometer__max,27,14283.703703703704,100.5797324458321,14181.0,14187.5,14191.0,14388.0,14401.0
validation,DoS,barometer__median,27,14278.055555555555,101.25456856024319,14173.5,14182.0,14184.5,14383.25,14396.5
validation,DoS,barometer__missing_ratio,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,DoS,barometer__nunique,27,6.888888888888889,1.257078722109418,5.0,6.0,7.0,8.0,10.0
validation,Replay,barometer__mean,20,19120.370000000003,15.40519717497923,19088.0,19114.25,19118.699999999997,19131.0,19147.1
validation,Replay,barometer__std,20,4.632921689905695,4.190350416755306,0.0,2.862756702863357,3.61162699535565,4.229351657246145,19.76385589909014
validation,Replay,barometer__min,20,19113.6,15.27219696049,19088.0,19105.75,19113.0,19121.25,19142.0
validation,Replay,barometer__max,20,19127.95,17.695974118425916,19088.0,19118.75,19127.0,19142.5,19154.0
validation,Replay,barometer__median,20,19120.55,15.43526805727714,19088.0,19114.75,19120.0,19131.75,19147.0
validation,Replay,barometer__missing_ratio,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,Replay,barometer__nunique,20,6.6,2.083266665599966,1.0,6.75,7.0,7.0,10.0
