feature,rows,nonmissing,missing_count,missing_percent,unique_values,unique_ratio,numeric_conversion_ratio,excluded_by_design
timestamp_p,6236,6236,0,0.0,6236,1.0,1.0,True
height,6236,6236,0,0.0,14,0.0022450288646568314,1.0,False
x_speed,6236,6236,0,0.0,14,0.0022450288646568314,1.0,False
y_speed,6236,6236,0,0.0,18,0.0028864656831302116,1.0,False
z_speed,6236,6236,0,0.0,11,0.001763951250801796,1.0,False
pitch,6236,6236,0,0.0,21,0.003367543296985247,1.0,False
roll,6236,6236,0,0.0,21,0.003367543296985247,1.0,False
yaw,6236,6236,0,0.0,301,0.04826812059012187,1.0,False
temperature,6236,6236,0,0.0,22,0.003527902501603592,1.0,False
distance,6236,6236,0,0.0,103,0.016516998075689543,1.0,False
barometer,6236,6236,0,0.0,1179,0.18906350224502885,1.0,False
flight_time,6236,6236,0,0.0,94,0.015073765234124438,1.0,True
battery,6236,6236,0,0.0,76,0.012187299550994226,1.0,False
mp_distance_x,6236,6236,0,0.0,130,0.02084669660038486,1.0,False
mp_distance_y,6236,6236,0,0.0,94,0.015073765234124438,1.0,False
mp_distance_z,6236,6236,0,0.0,67,0.010744066709429121,1.0,False
